salary,years,bavg,gamesyr,hrunsyr,rbisyr
6329213,12,289,142.0833,19.25,69.66666
3375000,8,259,114.75,9.125,42.75
3100000,5,299,150.2,9.2,71
2900000,8,245,132,13.375,52.625
1650000,12,258,99.66666,10.33333,45.08333
700000,17,286,119.5294,2.352941,33.76471
695000,4,234,98.5,9.25,35.25
275000,10,239,43.2,1.3,9.5
235000,4,240,55.75,0.25,7.25
212500,3,267,52,3.333333,19.66667
212500,2,248,84.5,7,22
180000,2,252,43.5,0.5,10.5
3400000,7,264,112.7143,12.14286,53.57143
2000000,2,182,22.5,0.5,2
1250000,4,259,110.5,8.75,52.25
825000,6,246,88,1.333333,21.66667
750000,7,292,100.1429,3,36.28571
200000,5,260,95.6,5.2,24.6
190000,2,271,84,1.5,21
138000,3,215,36.33333,2.666667,11
136000,2,223,43,2,13.5
125000,2,252,18.5,0,5.5
123000,1,293,32,0,7
123000,3,208,12.66667,0,1.333333
3000000,4,276,108.25,14.5,53
1537500,3,272,138.3333,7,50.66667
1500000,4,268,107.75,6,34
210000,2,277,65.5,4.5,28
170000,4,237,36.25,1,10.25
142500,2,234,63,2.5,14
126500,1,302,45,2,8
117500,2,181,17,0.5,2
115000,1,189,37,3,14
6200000,7,279,149.4286,19.28572,85.14286
3375000,16,290,152.75,25.875,97.625
2312500,8,265,127.625,2.25,31.875
2300000,10,285,132.8,4.8,47.9
2150000,11,253,116.2727,18.54545,61.09091
650000,9,278,103.3333,4.111111,29.44444
635000,10,250,41.1,1.2,9.6
500000,7,205,48.42857,1.714286,13.14286
475000,6,271,88.83334,1.333333,22.66667
195000,3,200,60,2.666667,13.66667
109000,1,222,30,3,10
2466667,8,285,116.375,6.5,35.375
2450000,7,297,132.8571,11.28571,63.71429
2416667,9,233,78.44444,8.333333,34.33333
2000000,7,255,112.5714,7.571429,36.14286
1375000,9,281,108.8889,4.111111,28.66667
1050000,7,246,129.1429,20.85714,67.14286
1000000,5,281,100,8.2,49
600000,9,277,77.55556,2.777778,26.33333
600000,3,263,94.66666,12.66667,43
300000,3,257,83.33334,1.666667,17.66667
250000,3,250,65,8,31.66667
150000,4,182,39.75,0.5,5.75
122500,2,209,27,0.5,5.5
4950000,10,276,139,14.4,68.8
2600000,7,257,95.57143,5.571429,34.14286
2350000,9,269,81.77778,1.777778,27
1066667,11,280,91.27273,5.363636,31.90909
1000000,15,289,98.33334,6,33.6
675000,4,230,91.25,9.25,38.75
675000,6,249,71.83334,4.833333,20.5
360000,10,244,95.2,2.6,22.4
305000,3,260,93,5.333333,36.66667
120000,3,239,12.66667,0,1.666667
112000,2,253,46,0,5.5
109000,1,167,12,0,2
109000,1,571,10,0,4
3897184,15,261,147.2,1.466667,45.4
2650000,6,278,102.8333,8.666667,46.66667
2575000,6,255,84.66666,2.166667,25.16667
2050000,9,261,111.2222,1.333333,24.88889
1025000,4,261,113.25,8.5,48.5
966667,10,263,97.2,5.2,35.7
508333,3,251,99,6.666667,31.66667
290000,3,274,114.3333,10.66667,55.66667
225000,3,242,58,7.333333,21
175000,3,270,76.66666,4.333333,22
170000,3,273,61.33333,4,16.66667
160000,3,224,78,1,18.66667
3700000,6,259,116.8333,18.5,60.5
2815000,10,257,86.9,0.6,12.3
2250000,9,273,137.7778,9.666667,70.33334
2000000,6,262,96.33334,8.166667,34.5
1775000,4,269,99,17.75,60
1600000,10,262,92.5,8.1,41.3
1000000,4,245,55.5,4.25,14.25
975000,6,236,63.16667,4.666667,24.33333
925000,4,247,82.75,4,26.75
800000,11,223,70.63636,0.0909091,10.27273
675000,7,248,80.28571,2.857143,18.14286
550000,5,226,84.6,2,16.4
205000,2,246,99.5,13,45.5
181500,4,257,31.5,3.25,12.75
5700000,7,296,119.2857,10,52.57143
3900000,6,299,106,3.333333,26.33333
3750000,8,276,112.5,21.375,68.5
3133333,6,280,106.3333,9.333333,43
3100000,5,273,123.2,16,55
1275000,5,304,77.6,5.4,30.4
1200000,4,247,101.75,8,43.25
700000,10,260,131,12.8,57.4
475000,6,256,92.33334,10.33333,39.33333
400000,5,242,71,1.6,11.4
200000,2,264,62.5,6.5,19.5
120000,1,275,34,0,4
1200000,5,250,106,9.6,43.8
725000,5,254,84.8,7.6,35.2
690000,5,237,68,5.6,25.2
670000,4,262,76,0.75,17.5
600000,8,267,117.75,14.5,59
550000,9,250,98,7.222222,24.88889
350000,3,283,96.66666,0,16.33333
310000,6,246,100.8333,0.5,18.16667
225000,17,266,126.7059,23.41176,74.05882
167500,2,246,49,0.5,10
120000,2,238,10.5,0,0.5
3150000,6,256,115.6667,7.333333,49.16667
3050000,5,274,129,6,38.4
2900000,4,276,136,4.5,42.75
775000,6,250,106.8333,1.5,20.66667
655000,2,283,159,16.5,89
500000,11,269,115.1818,9.454545,46.09091
500000,7,260,111.2857,10.28571,47.57143
400000,9,241,110.3333,2.111111,24
350000,4,210,71.25,8.5,30.75
325000,3,247,90.33334,7.666667,41.33333
162500,2,226,65,2.5,18
156500,2,227,46.5,0,10.5
135000,3,207,48.33333,3.666667,16.33333
130000,2,195,41,0,5.5
3800000,10,262,129.1,28.5,85.7
3362500,13,259,135.9231,15.69231,69.61539
3333333,12,288,139.8333,3.666667,36.58333
2500000,6,280,119.1667,2.833333,37.83333
1500000,7,244,121.7143,18.85714,59.14286
1000000,9,265,103.5556,20.22222,62.66667
970000,6,283,79.5,1.333333,18.5
900000,5,279,109.6,1.6,26.2
600000,10,266,104.1,6.3,31.3
435000,2,252,81.5,10,44.5
300000,3,241,76.66666,0.6666667,13.33333
175000,3,251,31.33333,1,6.333333
126000,1,232,21,1,7
4250000,7,279,126.1429,27.28572,73.57143
4083333,11,327,133,5.363636,53.72727
3110000,5,283,88,10.8,46.6
1750000,7,250,124.7143,4.571429,41.71429
762500,10,254,97.7,7.9,34.8
300000,13,259,110.8462,5.230769,34.30769
245000,3,268,58.33333,6,22.66667
165000,2,228,39.5,1,8
149000,5,242,26.2,0.2,3.8
109000,1,304,15,1,5
4750000,7,301,146.8571,23.14286,90.85714
4416667,7,275,144.2857,25.14286,79.42857
2312500,11,298,132.9091,5.181818,58.09091
2250000,6,241,113.6667,20.16667,62.66667
1900000,7,258,140.4286,12.14286,48.85714
1100000,7,269,119.4286,5.571429,32.57143
735000,6,231,52.5,0.8333333,13.16667
500000,6,253,120.3333,8.333333,52.83333
325000,9,233,60,1.444444,2.111111
300000,6,258,62.16667,5.166667,17.66667
172500,3,237,65.66666,0.6666667,11.33333
155000,2,216,53.5,2,13
5359973,12,277,150,22.75,84.5
3800000,9,262,109.4444,21,66
3025000,6,259,97.33334,10.5,44.5
1855000,5,238,109.8,6.2,33.6
1650000,10,260,115.5,1.7,29.5
1100000,13,286,141.8462,18.53846,82
350000,4,250,58,8,19.5
312500,3,249,89,11,36.66667
300000,7,229,57.42857,0.7142857,14.57143
237500,3,254,80.33334,1.666667,18
197500,2,268,75,9,29
120000,2,173,21,0,3
4875000,17,282,135.8824,23.47059,83.82353
3325000,8,306,103.875,10.5,61.125
3000000,9,277,93.55556,11.44444,46.88889
2200000,13,267,124.9231,7.307693,47.23077
1075000,7,233,91.14286,3.428571,26.71428
750000,9,263,111.5556,4.666667,34.55556
700000,8,235,74.375,3.875,23.125
675000,12,262,113.4167,2.083333,36.41667
400000,8,258,103.125,5.375,33
340000,4,285,84.25,4.5,36.5
270000,2,244,93.5,8.5,44.5
240000,3,292,46.33333,1.666667,13.33333
222000,2,269,71,2,23
200000,3,221,38.66667,1.666667,9.666667
135000,1,276,58,5,25
1600000,4,260,86.75,17.5,61.75
1300000,5,262,56,2.4,21
1200000,3,293,142.3333,12.66667,73.66666
975000,4,245,69.25,9.75,28.25
950000,6,255,96.33334,0.1666667,18.5
750000,9,228,62.66667,1.888889,15.11111
500000,5,265,71.8,3.8,24.2
425000,2,275,84,2.5,21
400000,7,254,73.85714,1,14.85714
350000,4,255,55.25,6.75,21.75
335000,11,260,56.81818,0.4545455,14.27273
325000,3,265,82.66666,2,18
300000,6,281,92.5,4.333333,27.16667
142500,2,259,27.5,2,9.5
4200000,7,257,99.42857,23,67.57143
3866667,11,259,117.4545,6.181818,40.90909
3433333,16,274,130.9375,13.0625,58.125
3333333,9,241,103.5556,15.22222,45.11111
2066667,9,222,111.3333,22.77778,59.55556
1400000,16,286,122.8125,10.125,54.75
1150000,10,270,110.6,6.1,39
650000,3,268,126.3333,16.66667,71.33334
500000,14,268,96.5,15,50.07143
425000,6,245,54.16667,0.3333333,8
275000,3,251,87.33334,2,23
250000,7,249,35,1.571429,7.428571
240000,5,205,39,1.6,6.4
230000,2,285,80.5,3,28.5
2700000,19,287,143.6316,12.78947,71.31579
2500000,6,268,132.8333,5.333333,58.33333
1640000,4,234,111,18,65
1333333,11,267,129.5455,7.636364,44.63636
1100000,12,248,138,21.25,71.33334
1000000,4,292,95.75,2,37
750000,4,262,92.75,3.5,31.25
725000,5,262,72.6,7.8,28.8
350000,1,290,149,1,47
250000,14,264,93,5,28.71428
120000,1,232,51,4,25
118000,1,226,47,2,10
110000,1,111,22,0,1
5050000,9,284,105.1111,19.66667,68.88889
3833333,8,259,99.875,12,51.375
3820000,11,311,129.6364,17.45455,83
2900000,11,338,147.7273,7.727273,62.45454
2500000,8,256,95.25,14.625,45.25
2250000,10,243,127.7,4,35.4
1575000,8,234,97.75,3.25,21.75
1050000,6,248,64.16666,3.333333,17.33333
350000,8,282,88.875,2.875,25.5
325000,7,251,74.28571,3.428571,21
255000,3,236,108.3333,18.33333,46.33333
160000,2,234,101,5,25
152000,3,246,62.33333,4,18.33333
150000,2,256,73.5,4,30
5500000,10,263,134.4,24.2,87.3
4833333,5,291,152.2,7.8,60.4
3583333,8,254,115.125,11.625,45.125
3500000,15,303,123.7333,10.66667,52.66667
2100000,7,252,73.85714,7.285714,24
1487500,4,269,98.5,11.75,45.5
800000,10,229,120.3,5.2,31.4
500000,10,247,76.1,6.3,30.9
500000,17,250,112.7059,1.411765,30.82353
290000,3,261,84,3.666667,24
182500,2,266,41.5,2.5,13.5
115000,2,176,13,0,1.5
112500,2,250,5.5,0.5,1
109000,1,625,7,1,3
4333333,9,259,102.3333,12.66667,48.22222
3000000,12,253,136.9167,19.25,72.66666
2475000,6,299,125.5,2.166667,40.33333
1750000,12,270,132.5,16.41667,68.16666
600000,8,233,60.25,1.625,11.375
600000,8,246,94.75,1.25,18.375
525000,5,238,49.6,2.8,14.4
450000,4,258,92.5,3,21.25
265000,4,234,48.75,0.75,11.25
220000,1,259,139,10,46
160000,4,203,29.75,0.75,6.25
115000,1,177,23,2,6
112500,1,258,47,1,12
110000,1,143,7,0,2
109000,3,170,21,0.6666667,2.666667
3650000,11,282,135,22.90909,85.27273
3500000,14,297,121.7143,7.714286,46.85714
2266667,6,273,97.16666,0.6666667,29.33333
2000000,8,266,136.875,1.25,42.25
1975000,12,282,142.0833,4.416667,45.08333
1750000,8,247,102,13.75,45.75
1700000,4,271,120,11,63.5
1016667,7,226,65.57143,5.142857,20.71428
910000,6,249,89,18.66667,54.5
900000,3,322,126,21,85
632500,3,254,84.66666,3.333333,25
500000,6,281,120.3333,15.5,64.5
285000,5,246,61.6,0,8.6
4400000,7,285,142.1429,17.57143,83.42857
3666667,10,267,134.1,19.6,74.4
3666667,10,249,114,6.9,33.5
3100000,20,307,128.1,14.9,76
2400000,6,255,129.8333,1.333333,41.5
1525000,5,287,87.8,6.6,42
1175000,6,251,80.66666,7,32.5
1090000,2,190,27.5,0,3
460000,6,261,48.33333,1.833333,10
400000,10,246,96,0.8,17.9
378500,3,249,115.6667,5.666667,46.33333
250000,13,269,118.1538,11.30769,60.46154
225000,3,239,57.33333,1,16.66667
115000,2,263,11,1.5,2
5200000,9,321,153.5556,15.77778,87.22222
3100000,12,286,128.5833,21.5,79.16666
3050000,5,300,117,9.2,46
2700000,19,285,142.4737,22.73684,90
2400000,13,295,60.61538,3.615385,24.84615
600000,6,266,117,5.166667,41.16667
500000,2,289,153,1.5,53
400000,9,235,116,13.44444,48.22222
275000,3,261,84,2.666667,19.66667
253600,3,273,66.66666,6.333333,34
250000,11,252,107.6364,8.363636,36.90909
172000,4,287,21.75,1,5.5
4200000,7,280,151.4286,22.28572,96.14286
4000000,7,247,130.8571,31.42857,86.85714
3250000,14,291,132.7857,14.21429,51.78571
2800000,7,272,104.7143,8.714286,47.14286
2600000,12,262,114.5833,14.33333,52
627500,5,232,73.4,1.4,13.8
625000,7,272,104,2.428571,31.71428
600000,7,290,127,5.428571,48
400000,3,276,89.66666,1,23
120000,1,264,24,3,9
4000000,4,301,144.5,21.75,86
3016667,6,311,86.83334,7.5,34
2772500,6,246,81.66666,13.5,43.5
2187500,11,262,135.9091,14.72727,64.45454
1866667,9,230,79,6.555555,28.33333
1112500,4,250,125.5,1,25
900000,9,263,86.22222,4.333333,21
850000,8,257,91.5,1.625,17.5
475000,6,280,72.33334,2.5,22.5
287500,3,244,65.33334,6.666667,26.66667
200000,4,230,72.75,2.5,17.75
150000,13,276,84,0.7692308,18.46154
4800000,8,266,121.5,29.375,91.75
4550000,7,296,126.5714,13.57143,60.14286
2937500,11,301,127.4545,7.818182,61.72727
1900000,8,254,94.125,2,24.875
650000,11,269,68.18182,2.090909,16.27273
525000,4,259,86.5,18.75,57.5
500000,11,250,96.72727,7.636364,29
450000,5,240,88.6,0.6,16
312000,5,237,87.8,1.2,16.6
275000,2,261,105.5,5.5,32
250000,3,213,83,13.66667,36.66667
200000,6,244,111.1667,2.166667,28
109000,1,167,12,0,2
